model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.9,0.0,0.0,0.0
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.9,0.016591251885369532,0.008455034588777863,0.44
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0,1,False,0.9,0.03177966101694915,0.016778523489932886,0.3
fbprophet,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.9,0.037037037037037035,0.25,0.02
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.9,0.08011343495214462,0.042306252339947586,0.7533333333333333
fbprophetNB,"('DME-GDZ', 'auto_checkin')",50,0,3,True,0.9,0.1050656660412758,0.0611353711790393,0.37333333333333335
fbprophet,"('DME-ORY', 'seat')",50,0.833,1,False,0.9,0.0,0.0,0.0
fbprophetGamma,"('DME-ORY', 'seat')",50,0.833,1,False,0.9,0.009090909090909092,0.004651162790697674,0.2
fbprophetNB,"('DME-ORY', 'seat')",50,0.833,1,False,0.9,0.008123476848090982,0.004233700254022015,0.1
fbprophet,"('DME-ORY', 'seat')",50,0.66,1,False,0.9,0.0,0.0,0.0
fbprophetGamma,"('DME-ORY', 'seat')",50,0.66,1,False,0.9,0.009999999999999998,0.0051162790697674414,0.22
fbprophetNB,"('DME-ORY', 'seat')",50,0.66,1,False,0.9,0.013157894736842105,0.00686106346483705,0.16
fbprophet,"('DME-ORY', 'seat')",50,0,1,False,0.9,0.01923076923076923,0.018518518518518517,0.02
fbprophetGamma,"('DME-ORY', 'seat')",50,0,1,False,0.9,0.012709940989559694,0.006502554575011612,0.28
fbprophetNB,"('DME-ORY', 'seat')",50,0,1,False,0.9,0.027709861450692746,0.014443500424808835,0.34
fbprophet,"('DME-ORY', 'seat')",50,0,3,True,0.9,0.041884816753926704,0.0975609756097561,0.02666666666666667
fbprophetGamma,"('DME-ORY', 'seat')",50,0,3,True,0.9,0.09735627360469996,0.05194805194805195,0.7733333333333333
fbprophetNB,"('DME-ORY', 'seat')",50,0,3,True,0.9,0.09863429438543247,0.05565068493150685,0.43333333333333335
fbprophet,total,50,0.833,1,False,0.91,0.05676126878130217,0.030965391621129327,0.34
fbprophetGamma,total,50,0.833,1,False,0.91,0.0392156862745098,1.0,0.02
fbprophetNB,total,50,0.833,1,False,0.91,0.0,0.0,0.0
fbprophet,total,50,0.66,1,False,0.91,0.14968152866242035,0.08131487889273356,0.94
fbprophetGamma,total,50,0.66,1,False,0.91,0.48484848484848486,1.0,0.32
