model,target_col,n_experiments,anom_coeff,num_anomalies,in_a_row,interval_width,f1_score,precision,recall
fbprophet,total,80,0,1,False,0.605,0.0206562949405151,0.010437310080591887,0.9875
fbprophetGamma,seat,80,0,1,False,0.605,0.0263245584805065,0.013340087808172914,0.9875
fbprophetGamma,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.605,0.0196377918394065,0.009993337774816789,0.5625
fbprophetGamma,"('DME-ORY', 'seat')",80,0,3,True,0.605,0.037523452157598496,0.019120458891013385,1.0
fbprophetGamma,"('DME-ORY', 'seat')",80,0,1,False,0.605,0.021568186924286675,0.01098146877144818,0.6
fbprophetGamma,total,80,0,3,True,0.605,0.023443223443223443,0.011860637509266123,1.0
fbprophetGamma,gift_certificate,80,0,1,False,0.605,0.024748322147651006,0.012585324232081911,0.7375
fbprophetGamma,"('AAQ-DME', 'auto_checkin')",80,0,1,False,0.605,0.022634676324128567,0.011526048870447211,0.625
fbprophetNB,"('DME-GDZ', 'auto_checkin')",80,0,3,True,0.605,0.026165167620605067,0.013256006628003313,1.0
fbprophetNB,gift_certificate,80,0,1,False,0.605,0.026500389711613403,0.013460015835312747,0.85
fbprophetNB,gift_certificate,80,0,3,True,0.605,0.03261977573904179,0.016580310880829015,1.0
fbprophetNB,"('DME-ORY', 'seat')",80,0,3,True,0.605,0.024802356223841266,0.012556898446083818,1.0
fbprophetNB,"('AAQ-DME', 'auto_checkin')",80,0,3,True,0.605,0.026037428803905614,0.013190436933223413,1.0
fbprophetNB,"('DME-ORY', 'seat')",80,0,1,False,0.605,0.01716350496838302,0.008686376104846084,0.7125
fbprophetNB,seat,80,0,3,True,0.605,0.059127864005912786,0.030464584920030464,1.0
fbprophetNB,total,80,0,3,True,0.605,0.06983849847228285,0.03618272274988693,1.0
fbprophetNB,total,80,0,1,False,0.605,0.05871139916126572,0.030279197797876523,0.9625
fbprophetNB,seat,80,0,1,False,0.605,0.04918032786885246,0.025226390685640362,0.975
fbprophetNB,"('DME-GDZ', 'auto_checkin')",80,0,1,False,0.605,0.017888516211467816,0.009060022650056626,0.7
